site_id,gradebook_item_id,item_name,item_source,external_id,points_possible,due_date,released,category_id,category_name
ABE3300_2025_26,34458,Course Grade,Manual/Other,,,,,,
ABE3301_2025_26,36407,Course Grade,Manual/Other,,,,,,
ABE3302_2025_26,34460,Course Grade,Manual/Other,,,,,,
ABE3303_2025_26,36406,Course Grade,Manual/Other,,,,,,
ABE4300_2025_26,34563,Course Grade,Manual/Other,,,,,,
ABE4301_2025_26,36138,Course Grade,Manual/Other,,,,,,
ABE4302_2025_26,34562,Course Grade,Manual/Other,,,,,,
ABE4303_2025_26,36137,Course Grade,Manual/Other,,,,,,
ABE5301_2025_26,35261,Course Grade,Manual/Other,,,,,,
ABE5302_2025_26,36630,Course Grade,Manual/Other,,,,,,
ABE5303_2025_26,35266,Course Grade,Manual/Other,,,,,,
ABE5304_2025_26,36629,Course Grade,Manual/Other,,,,,,
ABE5306_2025_26,36628,Course Grade,Manual/Other,,,,,,
ABE5308_2025_26,36627,Course Grade,Manual/Other,,,,,,
ABE6400_2025_26,35151,Course Grade,Manual/Other,,,,,,
ABE6401_2025_26,36164,Course Grade,Manual/Other,,,,,,
ACC1401_2025_26,33870,Course Grade,Manual/Other,,,,,,
ACC1402_2025_26,35621,Course Grade,Manual/Other,,,,,,
ACC2301_2025_26,35719,Course Grade,Manual/Other,,,,,,
ACC2401_2025_26,33989,Course Grade,Manual/Other,,,,,,
ACC2402_2025_26,35755,Course Grade,Manual/Other,,,,,,
ACC2403_2025_26,33994,Course Grade,Manual/Other,,,,,,
ACC2404_2025_26,34376,Course Grade,Manual/Other,,,,,,
ACC3305_2025_26,35907,Course Grade,Manual/Other,,,,,,
ACC3309_2025_26,35906,Course Grade,Manual/Other,,,,,,
ACC3401_2025_26,34130,Course Grade,Manual/Other,,,,,,
ACC3402_2025_26,34131,Course Grade,Manual/Other,,,,,,
ACC3404_2025_26,35898,Course Grade,Manual/Other,,,,,,
ACC3405_2025_26,34847,Course Grade,Manual/Other,,,,,,
ACC3407_2025_26,34132,Course Grade,Manual/Other,,,,,,
ACC3408_2025_26,35905,Course Grade,Manual/Other,,,,,,
ACC3409_2025_26,34128,Course Grade,Manual/Other,,,,,,
ACC4301_2025_26,34177,Course Grade,Manual/Other,,,,,,
ACC4303_2025_26,34182,Course Grade,Manual/Other,,,,,,
ACC4305_2025_26,34178,Course Grade,Manual/Other,,,,,,
ACC4306_2025_26,36241,Course Grade,Manual/Other,,,,,,
ACC4308_2025_26,36240,Course Grade,Manual/Other,,,,,,
ACC4401_2025_26,36177,Course Grade,Manual/Other,,,,,,
ACC4402_2025_26,34180,Course Grade,Manual/Other,,,,,,
ACC4403_2025_26,34306,Course Grade,Manual/Other,,,,,,
ACC4405_2025_26,35565,Course Grade,Manual/Other,,,,,,
ACC4406_2025_26,34181,Course Grade,Manual/Other,,,,,,
ACC4407_2025_26,36239,Course Grade,Manual/Other,,,,,,
ACC4501_2025_26,36238,Course Grade,Manual/Other,,,,,,
ADE1305_2025_26,34629,Course Grade,Manual/Other,,,,,,
ADE1308_2025_26,36010,Course Grade,Manual/Other,,,,,,
ADE2301_2025_26,34665,Course Grade,Manual/Other,,,,,,
ADE2302_2025_26,34667,Course Grade,Manual/Other,,,,,,
ADE2303_2025_26,34668,Course Grade,Manual/Other,,,,,,
ADE2304_2025_26,34666,Course Grade,Manual/Other,,,,,,
ADE2305_2025_26,36116,Course Grade,Manual/Other,,,,,,
ADE2306_2025_26,36115,Course Grade,Manual/Other,,,,,,
ADE2307_2025_26,36114,Course Grade,Manual/Other,,,,,,
ADE2308_2025_26,36113,Course Grade,Manual/Other,,,,,,
ADE2309_2025_26,36112,Course Grade,Manual/Other,,,,,,
ADE3301_2025_26,34896,Course Grade,Manual/Other,,,,,,
ADE3302_2025_26,34894,Course Grade,Manual/Other,,,,,,
ADE3303_2025_26,34895,Course Grade,Manual/Other,,,,,,
ADE3304_2025_26,34893,Course Grade,Manual/Other,,,,,,
ADE3305_2025_26,34892,Course Grade,Manual/Other,,,,,,
ADE3306_2025_26,36189,Course Grade,Manual/Other,,,,,,
ADE3307_2025_26,36188,Course Grade,Manual/Other,,,,,,
ADE3308_2025_26,36187,Course Grade,Manual/Other,,,,,,
ADE3309_2025_26,36186,Course Grade,Manual/Other,,,,,,
ADE3310_2025_26,36185,Course Grade,Manual/Other,,,,,,
ADE4401_2025_26,34840,Course Grade,Manual/Other,,,,,,
ADE4402_2025_26,34844,Course Grade,Manual/Other,,,,,,
ADE4403_2025_26,34843,Course Grade,Manual/Other,,,,,,
ADE4404_2025_26,34842,Course Grade,Manual/Other,,,,,,
ADE4405_2025_26,34841,Course Grade,Manual/Other,,,,,,
ADE4406_2025_26,36472,Course Grade,Manual/Other,,,,,,
ADE4407_2025_26,36476,Course Grade,Manual/Other,,,,,,
ADE4408_2025_26,36475,Course Grade,Manual/Other,,,,,,
ADE4409_2025_26,36474,Course Grade,Manual/Other,,,,,,
ADE4410_2025_26,36473,Course Grade,Manual/Other,,,,,,
ADE600_2025_26,34905,Course Grade,Manual/Other,,,,,,
ADE601_2025_26,34906,Course Grade,Manual/Other,,,,,,
ADE602_2025_26,35059,Course Grade,Manual/Other,,,,,,
ADE603_2025_26,34904,Course Grade,Manual/Other,,,,,,
ADE604_2025_26,35060,Course Grade,Manual/Other,,,,,,
ADE605_2025_26,34777,Course Grade,Manual/Other,,,,,,
ADE611_2025_26,34956,Course Grade,Manual/Other,,,,,,
ADE612_2025_26,34957,Course Grade,Manual/Other,,,,,,
ADE613_2025_26,34958,Course Grade,Manual/Other,,,,,,
ADE614_2025_26,35027,Course Grade,Manual/Other,,,,,,
ADE615_2025_26,35028,Course Grade,Manual/Other,,,,,,
AEC1300_2025_26,33904,Course Grade,Manual/Other,,,,,,
AEC1301_2025_26,35598,Course Grade,Manual/Other,,,,,,
AEC2501_2025_26,33937,Course Grade,Manual/Other,,,,,,
AEC2502_2025_26,34255,Course Grade,Manual/Other,,,,,,
AEC2503_2025_26,34256,Course Grade,Manual/Other,,,,,,
AEC2504_2025_26,34254,Course Grade,Manual/Other,,,,,,
AEC2505_2025_26,35594,Course Grade,Manual/Other,,,,,,
AEC2506_2025_26,35593,Course Grade,Manual/Other,,,,,,
AEC2507_2025_26,33913,Course Grade,Manual/Other,,,,,,
AEC2508_2025_26,35901,Course Grade,Manual/Other,,,,,,
AEC3301_2025_26,34233,Course Grade,Manual/Other,,,,,,
AEC3303_2025_26,34234,Course Grade,Manual/Other,,,,,,
AEC3304_2025_26,34232,Course Grade,Manual/Other,,,,,,
AEC3305_2025_26,34235,Course Grade,Manual/Other,,,,,,
AEC3306_2025_26,34231,Course Grade,Manual/Other,,,,,,
AEC3307_2025_26,35656,Course Grade,Manual/Other,,,,,,
AEC3308_2025_26,35655,Course Grade,Manual/Other,,,,,,
AEC3311_2025_26,35616,Course Grade,Manual/Other,,,,,,
AEC3312_2025_26,35654,Course Grade,Manual/Other,,,,,,
AEC3410_2025_26,35653,Course Grade,Manual/Other,,,,,,
AEC4300_2025_26,34483,Course Grade,Manual/Other,,,,,,
AEC4301_2025_26,34484,Course Grade,Manual/Other,,,,,,
AEC4302_2025_26,34400,Course Grade,Manual/Other,,,,,,
AEC4304_2025_26,34485,Course Grade,Manual/Other,,,,,,
AEC4305_2025_26,34486,Course Grade,Manual/Other,,,,,,
AEC4306_2025_26,35767,Course Grade,Manual/Other,,,,,,
AEC4307_2025_26,35766,Course Grade,Manual/Other,,,,,,
AEC4308_2025_26,35765,Course Grade,Manual/Other,,,,,,
AEC4309_2025_26,35764,Course Grade,Manual/Other,,,,,,
AEC4310_2025_26,35763,Course Grade,Manual/Other,,,,,,
AEC4503_2025_26,34482,Course Grade,Manual/Other,,,,,,
AEC612_2025_26,35181,Course Grade,Manual/Other,,,,,,
AEC617_2025_26,36548,Course Grade,Manual/Other,,,,,,
AEC627_2025_26,35173,Course Grade,Manual/Other,,,,,,
AEC628_2025_26,36273,Course Grade,Manual/Other,,,,,,
AEC629_2025_26,36284,Course Grade,Manual/Other,,,,,,
